"numprec","region","metro","relate","age","sex","race","marst","bpl","sch","educ99","empstat","classwkr","wkswork1","uhrswork","incwage","ftype","annhrs","hrwage","adj_ind","adj_occ2name"
1,"New England Division","Not in metro area","Head/Householder",62,"Male","White nonhisp","Never married/single","United States","Associate's degree","Associate's degree 1","At work","Wage/salary, private sector",52,44,57000,"Nonfamily householder",2288,24.9125881195068,"Outpatient care centers","Consruction, Extraction, Installation"
3,"East North Central Div.","In metro area, outside central / principal city","Spouse",59,"Male","White nonhisp","Married, spouse present","United States","Some collage","Some collage","At work","Federal govt employee",50,40,62000,"Primary family",2000,31,"Not avaliable","Consruction, Extraction, Installation"
4,"New England Division","In metro area, central / principal city","Head/Householder",44,"Male","Hispanic","Married, spouse present","Mexico","Grade 12","High school","At work","Wage/salary, private sector",52,40,45000,"Primary family",2080,21.634614944458,"Architectural, engineering, and related services","Transportation and materials moving"
1,"South Atlantic Division","In metro area, outside central / principal city","Head/Householder",41,"Male","White nonhisp","Divorced","United States","Grade 12","High school","At work","Wage/salary, private sector",52,42,28000,"Nonfamily householder",2184,12.8205127716064,"Real estate","Managers"
3,"New England Division","Not in metro area","Spouse",35,"Male","White nonhisp","Married, spouse present","United States","Grade 12","High school","At work","Wage/salary, private sector",50,40,42500,"Primary family",2000,21.25,"Construction","Transportation and materials moving"
1,"South Atlantic Division","Central / Principal city status unknown","Head/Householder",36,"Male","White nonhisp","Never married/single","United States","Grade 11","11th grade","At work","Wage/salary, private sector",40,40,35000,"Nonfamily householder",1600,21.875,"Construction","Consruction, Extraction, Installation"
2,"East North Central Div.","Not in metro area","Head/Householder",59,"Male","White nonhisp","Married, spouse present","United States","Bachelor's degree","Bachelor's degree","Has job, not at work now","Wage/salary, private sector",52,50,140000,"Primary family",2600,53.8461532592773,"Securities, commodities, funds, trusts, and other financial investments","Office and Admin Support"
2,"East South Central Div.","Not in metro area","Head/Householder",51,"Male","White nonhisp","Married, spouse present","United States","Bachelor's degree","Bachelor's degree","At work","Wage/salary, private sector",52,60,24000,"Primary family",3120,7.692307472229,"Not avaliable","Community and Social Workers"
4,"South Atlantic Division","Not in metro area","Head/Householder",46,"Male","White nonhisp","Married, spouse present","United States","Grade 12","High school","At work","Local govt employee",52,44,55000,"Primary family",2288,24.0384616851807,"Sewage treatment facilities","Production"
4,"East North Central Div.","In metro area, outside central / principal city","Head/Householder",53,"Male","Hispanic","Married, spouse present","Mexico","Grade 2","1st-4th grades","At work","Wage/salary, private sector",40,40,16000,"Primary family",1600,10,"Employment services","Production"
