Pos,FG%,3PA,2P%,eFG%,ORB,DRB,TRB,BLK,Proximity
0,0.439,2.1,0.468,0.486,2.0,4.5,6.5,0.6,0
0,0.547,0.0,0.548,0.547,4.6,5.4,10.0,0.8,0
0,0.557,0.1,0.562,0.557,2.4,7.6,10.1,0.8,0
1,0.402,1.5,0.56,0.424,1.0,1.7,2.7,0.3,0
0,0.55,1.0,0.578,0.566,1.6,3.9,5.5,1.0,0
2,0.372,5.2,0.433,0.449,0.6,2.3,2.9,0.4,1
2,0.375,6.1,0.434,0.45,0.7,2.6,3.3,0.4,1
2,0.333,2.2,0.4,0.438,0.1,1.5,1.5,0.3,1
2,0.448,5.9,0.533,0.588,0.5,2.9,3.4,0.3,1
0,0.677,0.2,0.688,0.678,3.4,7.3,10.8,1.3,0
3,0.446,2.0,0.538,0.5,0.5,1.4,1.9,0.1,1
4,0.379,3.7,0.583,0.458,0.3,2.6,2.9,0.4,1
4,0.5,2.0,1.0,0.625,0.0,2.0,2.0,0.0,1
4,0.368,4.1,0.559,0.443,0.3,2.8,3.1,0.5,1
1,0.446,1.6,0.481,0.484,1.0,4.3,5.3,0.7,0
1,0.553,3.6,0.616,0.582,2.0,9.6,11.6,1.4,0
4,0.547,0.3,0.596,0.555,0.8,1.3,2.1,0.3,1
1,0.441,5.8,0.521,0.544,0.9,3.3,4.2,0.8,0
3,0.391,6.0,0.432,0.464,0.5,4.9,5.4,0.3,1
4,0.443,6.6,0.511,0.526,1.5,4.0,5.5,0.5,1
3,0.5,0.9,0.667,0.667,0.0,0.8,0.8,0.0,1
4,0.333,3.1,0.52,0.434,0.4,3.0,3.4,0.3,1
3,0.423,3.0,0.448,0.577,0.2,1.0,1.2,0.0,1
3,0.404,2.8,0.4,0.548,0.2,1.0,1.2,0.0,1
3,0.453,3.2,0.556,0.622,0.2,1.1,1.3,0.0,1
4,0.432,3.2,0.525,0.503,0.6,4.5,5.2,0.5,1
2,0.167,0.1,0.2,0.167,0.1,0.3,0.4,0.0,1
0,0.634,0.3,0.642,0.639,2.6,7.7,10.2,0.7,0
0,0.755,0.0,0.755,0.755,1.1,3.1,4.2,0.6,0
1,0.504,2.0,0.579,0.53,2.2,4.9,7.0,0.4,0
1,0.463,2.1,0.538,0.494,2.2,4.9,7.2,0.4,0
1,0.555,1.9,0.624,0.575,2.1,4.7,6.8,0.4,0
3,0.429,7.5,0.462,0.517,1.4,5.2,6.7,0.4,1
3,0.423,7.4,0.423,0.567,1.0,4.4,5.4,0.9,1
0,0.48,4.0,0.563,0.566,2.1,6.0,8.1,1.7,0
4,0.461,6.9,0.484,0.565,0.6,3.8,4.4,0.4,1
4,0.411,0.8,0.464,0.443,0.6,1.3,1.9,0.2,1
3,0.0,0.0,0.0,0.0,0.3,0.7,1.0,0.0,1
1,0.469,4.7,0.525,0.554,1.1,4.5,5.6,0.2,0
1,0.492,2.6,0.543,0.524,2.6,4.9,7.5,0.7,0
4,0.408,5.8,0.442,0.466,0.9,4.9,5.8,0.2,1
2,0.438,6.1,0.504,0.525,0.6,4.2,4.8,0.4,1
4,0.333,1.0,0.5,0.333,1.0,1.0,2.0,0.0,1
1,0.638,0.2,0.698,0.638,1.0,1.7,2.7,0.7,0
4,0.517,0.9,0.572,0.549,1.1,2.9,3.9,0.2,1
1,0.463,4.6,0.607,0.602,0.5,3.8,4.3,0.7,0
4,0.324,2.1,0.271,0.428,0.3,1.4,1.8,0.2,1
1,0.422,3.9,0.511,0.484,1.0,5.3,6.3,1.0,0
2,0.451,5.3,0.508,0.492,1.0,3.8,4.7,0.4,1
2,0.391,8.1,0.432,0.532,0.3,2.5,2.9,0.2,1
0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0
4,0.561,0.6,0.589,0.595,0.8,2.2,2.9,0.4,1
4,0.568,0.8,0.599,0.603,0.8,2.4,3.2,0.5,1
4,0.375,0.0,0.375,0.375,0.5,0.9,1.4,0.0,1
1,0.36,4.1,0.489,0.5,0.2,1.9,2.1,0.2,0
1,0.351,4.2,0.519,0.485,0.2,1.6,1.8,0.2,0
1,0.375,3.9,0.444,0.524,0.3,2.3,2.5,0.3,0
3,0.406,4.2,0.485,0.501,1.1,3.1,4.1,0.9,1
4,0.396,7.4,0.454,0.489,1.3,4.1,5.4,0.2,1
0,0.485,0.3,0.522,0.485,2.2,2.1,4.3,0.5,0
0,0.52,1.6,0.628,0.565,1.6,2.0,3.5,0.8,0
0,0.593,0.0,0.593,0.593,1.8,2.9,4.6,0.7,0
0,0.468,2.1,0.549,0.547,0.9,3.3,4.1,0.4,0
3,0.421,3.0,0.479,0.475,0.5,2.9,3.4,0.4,1
4,0.306,2.3,0.333,0.401,0.5,0.9,1.5,0.0,1
2,0.431,7.3,0.516,0.537,0.5,3.5,4.0,0.2,1
1,0.455,6.8,0.524,0.552,0.8,3.4,4.3,0.0,0
1,0.556,0.3,0.609,0.574,0.3,1.1,1.4,0.1,0
4,0.315,0.5,0.333,0.361,0.5,0.8,1.2,0.0,1
4,0.231,0.3,0.222,0.269,0.3,0.2,0.5,0.1,1
2,0.466,7.0,0.508,0.53,0.7,4.4,5.0,0.4,1
2,0.385,2.2,0.425,0.437,0.3,1.8,2.2,0.3,1
1,0.464,2.9,0.575,0.523,2.2,3.9,6.2,0.9,0
2,0.348,1.6,0.348,0.408,0.7,1.0,1.7,0.0,1
2,0.423,3.4,0.471,0.54,0.5,1.7,2.2,0.1,1
0,0.585,0.0,0.585,0.585,1.2,2.2,3.4,0.6,0
4,0.431,2.1,0.535,0.503,0.5,1.2,1.7,0.1,1
4,0.534,3.8,0.628,0.601,0.9,3.3,4.2,0.4,1
1,0.491,5.8,0.59,0.554,1.1,5.9,7.0,0.8,0
4,0.411,3.5,0.465,0.493,1.6,3.7,5.3,0.4,1
3,0.448,5.2,0.518,0.501,0.9,4.2,5.1,0.4,1
2,0.347,5.2,0.605,0.474,0.3,1.7,2.0,0.2,1
3,0.289,2.8,0.5,0.421,0.6,1.1,1.7,0.2,1
4,0.432,4.7,0.48,0.475,0.9,2.3,3.2,0.3,1
4,0.506,1.3,0.529,0.543,1.4,3.4,4.8,0.7,1
2,0.256,0.5,0.333,0.269,0.6,0.8,1.5,0.2,1
2,0.2,1.0,0.5,0.2,0.0,0.3,0.3,0.3,1
2,0.265,0.5,0.32,0.279,0.7,0.9,1.6,0.2,1
4,0.143,1.5,0.25,0.143,0.0,1.0,1.0,0.0,1
2,0.36,5.0,0.3,0.48,0.3,4.3,4.7,0.0,1
4,0.426,1.3,0.481,0.476,0.8,2.0,2.8,0.5,1
4,0.473,7.0,0.544,0.541,0.8,5.3,6.1,0.3,1
0,0.593,0.0,0.593,0.593,1.0,2.4,3.4,0.4,0
0,0.54,0.0,0.54,0.54,0.6,1.7,2.3,0.3,0
0,0.638,0.0,0.638,0.638,1.6,3.6,5.3,0.5,0
2,0.381,1.9,0.492,0.471,0.5,2.5,3.0,0.1,1
4,0.419,2.0,0.488,0.51,0.6,2.5,3.1,0.1,1
3,0.502,3.2,0.545,0.549,0.5,3.4,3.9,0.0,1
0,0.52,1.6,0.613,0.561,1.0,3.0,4.0,0.8,0
3,0.25,1.0,0.5,0.25,0.5,0.5,1.0,0.0,1
4,0.401,5.8,0.55,0.542,0.5,3.1,3.5,0.2,1
3,0.391,2.0,0.436,0.451,0.1,0.7,0.8,0.0,1
2,0.391,4.8,0.378,0.499,0.6,4.3,4.9,0.3,1
2,0.404,2.1,0.524,0.497,0.1,1.0,1.1,0.2,1
4,0.48,2.0,0.52,0.496,1.8,4.1,5.9,0.5,1
1,0.677,0.0,0.677,0.677,0.5,2.3,2.8,0.5,0
2,0.435,5.3,0.48,0.531,0.5,2.9,3.4,0.3,1
3,0.361,3.0,0.476,0.459,0.4,1.4,1.8,0.4,1
1,0.561,0.8,0.552,0.646,0.5,1.5,2.1,0.2,0
3,0.341,7.4,0.0,0.511,0.2,1.0,1.2,0.6,1
0,0.613,0.0,0.614,0.613,3.8,8.1,11.9,1.3,0
0,0.538,0.0,0.538,0.538,1.1,0.6,1.7,0.1,0
0,0.5,0.0,0.5,0.5,0.8,0.5,1.3,0.0,0
0,0.571,0.0,0.571,0.571,1.7,0.7,2.3,0.3,0
3,0.387,2.6,0.386,0.518,0.2,1.5,1.7,0.2,1
3,0.333,2.8,0.34,0.454,0.2,1.3,1.5,0.2,1
3,0.506,2.2,0.444,0.658,0.3,1.9,2.2,0.2,1
0,0.525,3.5,0.615,0.576,2.2,8.2,10.5,0.7,0
2,0.398,3.1,0.462,0.48,0.8,2.8,3.6,0.4,1
0,0.457,0.1,0.455,0.471,0.7,1.4,2.0,0.2,0
0,0.457,0.1,0.455,0.471,0.7,1.4,2.1,0.2,0
0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0
3,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1
4,0.463,0.8,0.538,0.537,1.0,1.0,2.0,0.1,1
